男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
女|上海|1984-12|上海师范大学（徐汇）|本科在读|本科在读|小学教育|本科大四学生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,中考心里辅导,高一高二英语,高一高二化学,电脑普通话等|暑期中参加浦东梅园小学爱心学校；还给六年级、初一、初二学生辅导过课，对教材熟悉。有一定实践经验，在加上专业对口，所以相信是您的孩子的理想学习辅导老师。普通话二级甲等,英语四级。||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,中考心里辅导,高一高二英语,高一高二化学,电脑普通话等|||
女|上海|1984|上海对外贸易学院（松江）|本科在读|本科在读|国际经济法|本科大四学生|初一初二英语,初一初二数学,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,上海话,精准普通话,初级英语口语,初级牛津英语,英语四级,计算机基本操作,初级数据库,计算机应用能力初级,动画制作,中级口译,办公自动化,辅导英语2,3级考试,陪小朋友度寒假,监督辅导小学初中做作业,帮助辅导高考填志愿,初中物理,化学,法律基础知识简介课|大一过英语四级,大二过英语六级,中级口译笔试口试,一次性通过.从小一直是在重点学校读书,大学担当众多学校职务,在学校学生会和团委工作,多次获老师和学生的好评,有大量奖状.作过科技馆志愿者.曾因学习优秀,被高中推荐去澳洲学习.小时候在广播台播音,少年报担当记者,合唱队成员等等.工作认真负责,热情,可亲,开朗!!百闻不如一见!!||初一初二英语,初一初二数学,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,上海话,精准普通话,初级英语口语,初级牛津英语,英语四级,计算机基本操作,初级数据库,计算机应用能力初级,动画制作,中级口译,办公自动化,辅导英语2,3级考试,陪小朋友度寒假,监督辅导小学初中做作业,帮助辅导高考填志愿,初中物理,化学,法律基础知识简介课|||
男|湖南|1983|上海海事大学（洋泾）|本科在读|本科在读|热能|本科大四学生|小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,书法,乒乓球,|诚实认真负责||小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,书法,乒乓球,|||
男|河南|1984|同济大学（四平路）|本科在读|本科在读|机械设计制造及其自动化|本科大三学生|初三物理,初三数学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,滑冰旱冰,|||初三物理,初三数学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,滑冰旱冰,|||
女|上海|1979|上海师范大学|本科毕业|本科毕业|应用数学|在职初中教师|初一初二数学,小学数学,|||初一初二数学,小学数学,|数学|3|尚无职称等级
男|浙江|1982|东华大学（其它）|本科在读|本科在读|日语|本科大四学生|初级日语,高级日语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,初一初二数学,初一初二物理,初一初二化学,|性格开朗喜欢交朋友兴趣体育音乐待人诚恳||初级日语,高级日语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,初一初二数学,初一初二物理,初一初二化学,|||
女|湖南|1979|上海中医药大学（张江）|硕士在读|硕士在读|中药学|在读硕士生|小学语文,小学数学,小学英语,初一初二英语,初一初二数学,初三数学,初三英语,|本人在2002年通过国家英语六级考试及计算机二级考试，一直很爱好英语，研究生入学考试英语65分，研究生一年级获学校三等奖学金。||小学语文,小学数学,小学英语,初一初二英语,初一初二数学,初三数学,初三英语,|||
女|上海|1983|上海师范大学（徐汇）|本科在读|本科在读|英语|本科大四学生|初三英语,高一高二英语,高三英语,初级新概念英语,|||初三英语,高一高二英语,高三英语,初级新概念英语,|||
男|上海|1982|上海财经大学（其它）|硕士在读|硕士在读|工商管理|在读硕士生|高一高二英语,高三英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,精准英语语音,初级德语,高级德语,书法,计算机基本操作,计算机应用能力初级,程序设计初级,初级数据库,电子信息类专业课|本人现就读于上海财经大学留学预科学院，明年打算出国攻读工商管理硕士．本科就读于同济大学，专业为电子信息工程（职教师资），拥有中等职业技术学校电子信息类教师资格证，可以教授电子信息类专业课程．另外由于大学期间第一外语是德语，所以拥有良好的德语听说读写能力，可以教授德语初中级以上水平．由于高中英语基础扎||高一高二英语,高三英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,精准英语语音,初级德语,高级德语,书法,计算机基本操作,计算机应用能力初级,程序设计初级,初级数据库,电子信息类专业课|||
女|山东|1979|曲阜师范大学|硕士在读|硕士在读|英语教育|进修大学教师|初级英语口语,初级新概念英语,高级新概念英语,雅思,初三英语,初级日语,|||初级英语口语,初级新概念英语,高级新概念英语,雅思,初三英语,初级日语,|英语|2|大学助教
女|澳大利亚|1978|悉尼大学|硕士在读|硕士在读|TESOL英语作为他语教学|海外留学归国人员|小学英语,初一初二英语,精准普通话,初级英语口语,初级新概念英语,托福,雅思,|||小学英语,初一初二英语,精准普通话,初级英语口语,初级新概念英语,托福,雅思,|||
女|上海|1975|上海音乐学院|本科毕业|本科毕业|钢琴系|在职专业培训机构教师|钢琴,电子琴,|专业辅导钢琴5级以上的中高级学生,耐心细致,一丝不苟,严谨教学.||钢琴,电子琴,|钢琴|10|尚无职称等级
男|山东|1981|华东师范大学（普陀）|硕士在读|硕士在读|生态学|在读硕士生|小学语文,小学数学,初一初二语文,初一初二数学,初一初二物理,初一初二化学,初三语文,初三数学,初三物理,初三化学,|||小学语文,小学数学,初一初二语文,初一初二数学,初一初二物理,初一初二化学,初三语文,初三数学,初三物理,初三化学,|||
男|安徽|1981|上海大学（宝山）|硕士在读|硕士在读|光学|在读硕士生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|本人学习一直很扎实，各门功课基本上都在偏上水平，多次获奖．而且，我兴趣广泛，非常喜欢运动，尤其是打篮球．||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|||
女|上海|1985|上海纺织高等专科学校|大专在读|大专在读|物流管理|大专在读学生|高一高二英语,高三英语,上海话,精准普通话,英语四级,高三语文,美容护肤|有担任考生辅导经验，耐心认真。主攻英语，从初中开始一路走来相关文凭考证不少。语文是我所擅长，从小学3年级开始担任语文课代表，直至高三毕业。擅学，会教。高中曾经代表学校作为2辨手参加上海市的比赛，获一等奖。故认为有把握教普通话。||高一高二英语,高三英语,上海话,精准普通话,英语四级,高三语文,美容护肤|||
男|湖南|1982|东华大学（长宁）|本科在读|本科在读|全英文工商管理|本科大四学生|小学数学,小学英语,小学语文,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,初级英语口语,初级新概念英语,精准英语语音,|东华拉萨尔国际设计学院工商管理专业在读，全日制全英文授课.获得澳洲大学预科4级证书||小学数学,小学英语,小学语文,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,初级英语口语,初级新概念英语,精准英语语音,|||
女|湖北|1981|上海大学（嘉定）|硕士在读|硕士在读|企业管理|在读硕士生|小学数学,小学奥数,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初一初二语文,高等数学,|本科就读于西安交通大学有４年的家教经验，认真热情有耐心在带家教的过程中深受家长的好评||小学数学,小学奥数,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初一初二语文,高等数学,|||
女|上海|1984|上海外国语大学（松江）|本科在读|本科在读|英语新闻|本科大四学生|初一初二英语,初三英语,高一高二英语,高三英语,初级新概念英语,|英语专业四级优秀，英语高级口译笔试合格。有家教经验，比较熟悉初中、高中及新概念英语。||初一初二英语,初三英语,高一高二英语,高三英语,初级新概念英语,|||
女|浙江|1983|东华大学（长宁）|本科在读|本科在读|日语|本科大四学生|精准普通话,初级日语,高级日语,|在学校连续两年获得日语系第一名。已以优秀成绩通过日语一级。且参加过日语演讲比赛。本人有丰富的日语、对日汉语授课经验，发音标准，语法基础相当扎实，教课耐心，责任心强。||精准普通话,初级日语,高级日语,|||
女|上海|1985|上海师范大学（徐汇）|本科在读|本科在读|小学教育专业|本科大四学生|小学语文,小学数学,小学英语,初一初二英语,初一初二语文,初三英语,精准普通话,|普通话二级甲等英语四级证书计算机一级优秀为人乐观开朗，做事有耐心||小学语文,小学数学,小学英语,初一初二英语,初一初二语文,初三英语,精准普通话,|||
男|江苏|1982|徐州师范大学|本科毕业|本科毕业|日语|翻译|高级日语,初级日语,|大学里有过家教经验，现在一家日本贸易公司就职，口语流利||高级日语,初级日语,|||
男|安徽|1981|华东师范大学（普陀）|本科在读|本科在读|哲学|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,初中政治历史地理，高中政治。哲学|||小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二英语,初中政治历史地理，高中政治。哲学|||
女|福建|1983|上海海事大学（洋泾）|本科在读|本科在读|工商管理国际航运|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二物理,初一初二英语,初一初二化学,高一高二数学,高一高二化学,高一高二物理,初级新概念英语,羽毛球,|||小学语文,小学数学,小学英语,初一初二语文,初一初二数学,初一初二物理,初一初二英语,初一初二化学,高一高二数学,高一高二化学,高一高二物理,初级新概念英语,羽毛球,|||
女|陕西|1980|华东师范大学（其它）|硕士在读|硕士在读|哲学|在读硕士生|高三英语,高一高二英语,可对学生进行一定的心理调适|文科功底深厚，擅长英语，获得国家英语六级证书。为人诚实，淳朴，积极向上，良好的沟通能力||高三英语,高一高二英语,可对学生进行一定的心理调适|||
男|湖北|1981|华东理工大学（梅陇）|硕士在读|硕士在读|化学工程|在读硕士生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三物理,初三数学,初三化学,高一高二英语,高一高二化学,|认真对待生活！||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三物理,初三数学,初三化学,高一高二英语,高一高二化学,|||
女|湖北|1980|上海外国语大学（虹口）|硕士在读|硕士在读|英语语言文学|在读硕士生|小学英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,雅思,精准英语语音,高级英语口语,初级法语,钢琴,精准普通话,英语六级,|英语专业八级证书、钢琴考级十级证书、普通话一级乙等、雅思考试7分成绩单、高校英语教师资格证||小学英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,雅思,精准英语语音,高级英语口语,初级法语,钢琴,精准普通话,英语六级,|||
女|上海|1985|上海财经大学（杨浦）|本科在读|本科在读|财政学（资产评估方向）|本科大二学生|||||||
女|上海|1948|安徽师范大学|本科毕业|本科毕业|英语师范|专职教师|小学英语,初一初二英语,|经验丰富，教学自有一套方法。退休后在黄浦区尚文中学、卢湾区第三中心小学，比乐中学反聘任教，对上海市中小学生英语教材熟悉。||小学英语,初一初二英语,|英语|35|中学一级教师
女|上海|1983-11-5|上海师范大学（奉贤）|本科在读|本科在读|小学教育|本科大二学生|小学数学,小学英语,初中英语,初中数学,高一高二数学,高一高二英语,普通话,计算机基本操作,|有耐心，责任心强！||小学数学,小学英语,初中英语,初中数学,高一高二数学,高一高二英语,普通话,计算机基本操作,|||
女|山东|1981|上海大学（宝山）|硕士在读|硕士在读|分析化学|在读硕士生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,英语四级,小学英语,|||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,英语四级,小学英语,|||
男|上海|1984|上海海事大学（金桥）|本科在读|本科在读|国际经贸|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,中考心里辅导,初三物理,高一高二数学,高一高二物理,上海话,高等数学,游泳,素描,计算机实用应用|小学多次获得校、区绘画板报比赛奖项中学校三好学生、优秀班委本人工作认真负责，有亲和力，特长是绘画（漫画、素描）常见计算机问题||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,中考心里辅导,初三物理,高一高二数学,高一高二物理,上海话,高等数学,游泳,素描,计算机实用应用|||
女|上海||复旦大学（邯郸路）|大专在读|大专在读||自学考试生|小学全科,小学语文,初中化学,初中语文,高中语文,|||小学全科,小学语文,初中化学,初中语文,高中语文,|||
男|上海|1981|上海师范大学|本科毕业|本科毕业|生物技术|助理工程师|小学英语,初一初二英语,初一初二化学,初三英语,初三化学,上海话,精准普通话,计算机基本操作,计算机应用能力初级,|愿意辅导外籍人士标准普通话和上海话！||小学英语,初一初二英语,初一初二化学,初三英语,初三化学,上海话,精准普通话,计算机基本操作,计算机应用能力初级,|||
女|上海|1983|上海外国语大学（虹口）|本科在读|本科在读|英语教育|本科大四学生|初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,英语四级,|已获得英语中级口译证书||初一初二英语,初三英语,高一高二英语,高三英语,精准普通话,英语四级,|||
男|上海|1985|上海对外贸易学院（松江）|本科在读|本科在读|商务英语|本科大四学生|乒乓球,小学英语,小学语文,初一初二语文,初一初二英语,初一初二化学,足球，篮球，陪玩|喜欢与小孩相处性格比较开朗，沉稳，实在喜欢运动||乒乓球,小学英语,小学语文,初一初二语文,初一初二英语,初一初二化学,足球，篮球，陪玩|||
女|山东|1982|山东师范大学|大专毕业|大专毕业|音乐|进修幼儿教师|声乐（美声）,声乐（民族）,美术,民族舞,|我具备很好的沟通能力，诚实守信，有亲和力，有较强的组织能力.中国音乐学院声乐8级，有幼儿奥尔夫音乐教学法||声乐（美声）,声乐（民族）,美术,民族舞,|音乐|5|幼儿教师
女|上海|1984|上海海事大学（洋泾）|本科在读|本科在读|旅游管理|本科大三学生|小学数学,初一初二语文,初一初二数学（几何）,初三英语,高一英语,高一数学,高二英语,高考心里辅导,高三英语,英语口语,精准英语语音,新概念英语,牛津英语,普通话,对外汉语,上海话,|英语四级优秀,今年考六级,已考过中级口译,分数还没有下来||小学数学,初一初二语文,初一初二数学（几何）,初三英语,高一英语,高一数学,高二英语,高考心里辅导,高三英语,英语口语,精准英语语音,新概念英语,牛津英语,普通话,对外汉语,上海话,|||
女||1982|浙江湖州师范学校|本科毕业|本科毕业|师范英语|外贸助理|小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,英语四级,初级英语口语,初级牛津英语,小学数学,小学语文,|教师资格证书大学英语六级证书专业８级证书善于与人沟通，有亲和力。多次家教。在高中实习一月，受到老师与同学的好评||小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,英语四级,初级英语口语,初级牛津英语,小学数学,小学语文,|||
女|上海|1984|上海交通大学（上中路）|本科在读|本科在读|英语|本科大四学生|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,精准英语语音,高级新概念英语,高级牛津英语,|性格开朗，喜欢舞蹈、户外运动，英语口语出色，标准美式发音。喜爱与来自不同文化背景的人打交道。热衷于社会实践。我相信：教师应为学生创造快乐的学习环境。学生应在快乐中学习，在快乐中成长。1.上海市美国摇摆舞组织重要成员。在“外滩五号”举办的大型摇摆舞舞会策划、组织者。全中国第一个大学生美国摇摆舞组织的创始人。银月酒吧摇摆舞课程助教。2.高中时，曾参加托福考试，并获高分。高三毕业时，取得上海市中级口译岗位资格证书。3.2003.8---2005.8涉外英语家教全英语授课学生：8岁俄罗斯男孩，8岁法国女孩教授课程：朗文国际英语教程2004.8---2005.8对外汉语教学学生：8岁俄罗斯男孩教授课程：快乐儿童汉语4.阅读过全英语版教育心理学，了解学生心理。5.曾做过涉外英语导游。6.正在进行一项名为上海市区街头流浪乞讨人员生存现状调查报告及对策方案的课题研究。此课题已获上海市交通大学唐氏基金的赞助。并得到上海市民政局、城市管理执法大队、浦东阳光慈善服务社的大力支持。||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,精准英语语音,高级新概念英语,高级牛津英语,|||
女|上海|1985|上海海事大学（洋泾）|本科在读|本科在读|日语|本科大三学生|小学数学,初一初二数学,上海话,初级日语,高级日语,标准普通话《大家的日语》《新编日语》《标准日本语》|上海人，本科日语系再读。有八年日语学习经验，基础扎实牢固，口语流利，时常有和日本朋友交流的机会。精通上海地方语言，且普通话标准，曾有参加日语演讲比赛的经历。工作热情，善于沟通，活泼开朗，善于与人交往，有耐心富有耐心和爱心||小学数学,初一初二数学,上海话,初级日语,高级日语,标准普通话《大家的日语》《新编日语》《标准日本语》|||
女|黑龙江|1981|牡丹江师范学院|本科毕业|本科毕业|数学教育|在职初中教师|初一初二数学,初三数学,|||初一初二数学,初三数学,|数学|2|中学二级教师
男|上海|1986|同济大学（四平路）|本科在读|本科在读|机械类|本科大二学生|初一初二数学,初一初二物理,初一初二英语,高一高二数学,高一高二物理,高一高二英语,|||初一初二数学,初一初二物理,初一初二英语,高一高二数学,高一高二物理,高一高二英语,|||
男|福建|1983|华东师范大学（普陀）|硕士在读|硕士在读|分子生物学|在读硕士生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初级新概念英语,计算机基本操作,计算机应用能力初级,游泳,羽毛球,乒乓球,|开朗，热情，热爱运动，热爱生活，现为华东师大免试研究生||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初级新概念英语,计算机基本操作,计算机应用能力初级,游泳,羽毛球,乒乓球,|||
男|江苏|1985|上海理工大学|本科在读|本科在读|动力工程|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|||
女|上海|1984|上海师范大学（徐汇）|本科在读|本科在读|英语|本科大四学生|小学英语,初一初二英语,精准普通话,上海话,图像处理软件,|性格开朗,希望能教外国友人中文.||小学英语,初一初二英语,精准普通话,上海话,图像处理软件,|||
男|河北|1985|同济大学（四平路）|本科在读|本科在读|自动化|本科大四学生|高一高二物理,高一高二化学,高一高二数学,高三英语,|23452345||高一高二物理,高一高二化学,高一高二数学,高三英语,|||
女|~{=-KU~}|1986|~{IO:#=;M(V0R5<<JuQ\'T:~}|~{1>?FTZ6A~}|~{1>?FTZ6A~}|~{ILNqS\"So~}|~{1>?F4s6~Q\'Iz~}|||||||
女|浙江|1985|东华大学（长宁）|本科在读|本科在读|服装设计与工程(国家重点)|本科大三学生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二物理,高一高二化学,精准普通话,初级英语口语,|本人性格温和耐心善于沟通为人正直善良热爱生活积极向上喜欢多种体育运动,以前在家辅导过小学全课,初中数理化,英语,受到好评,希望在做家教的同时更能提高自己的能力,要做就要做好就要对学生和家长负责!!||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二物理,高一高二化学,精准普通话,初级英语口语,|||
男|浙江|1981|上海外国语大学|本科毕业|本科毕业|日语国贸|销售|小学奥数,初一初二英语,初级新概念英语,初级日语,高级日语,|日语一级（354分），日语专业8级，英语大学6级.在日资银行工作过大半年，现在一日资商社工作。||小学奥数,初一初二英语,初级新概念英语,初级日语,高级日语,|||
女|上海|1986|华东师范大学（普陀）|本科在读|本科在读|艺术教育|本科大三学生|钢琴,|钢琴十级||钢琴,|||
男|安徽|1983|华东理工大学（梅陇）|硕士在读|硕士在读|工业催化|在读硕士生|初一初二数学,初一初二物理,初一初二化学,初三物理,初三数学,初三化学,高一高二数学,高一高二物理,高一高二化学,|做家教至今已经六年，多次做过小学数学，初中数学，物理，化学，高中等数学，物理，化学等学课！经验丰富!注重对教学和学习过程中方法的指导!在就读初中时参加数学、物理、化学省竞赛，高中期间参加过数学和物理奥赛。||初一初二数学,初一初二物理,初一初二化学,初三物理,初三数学,初三化学,高一高二数学,高一高二物理,高一高二化学,|||
女|广东|1982|上海海事大学（洋泾）|本科在读|本科在读|会计学|本科大四学生|小学语文,小学数学,小学英语,初一初二数学,初三数学,精准普通话,粤语|英语，数学好，有耐心，负责任，普通话，粤语标准。||小学语文,小学数学,小学英语,初一初二数学,初三数学,精准普通话,粤语|||
女|天津|1984|上海海事大学（洋泾）|本科在读|本科在读|交通运输管理|本科大四学生|高考心里辅导,精准普通话,小学数学,小学英语,初一初二英语,学龄前儿童辅导|有责任心,有耐心,有信心.性格开朗,有亲和力.特别喜欢与小孩子进行交流.||高考心里辅导,精准普通话,小学数学,小学英语,初一初二英语,学龄前儿童辅导|||
女|福建|1985|上海海事大学（洋泾）|本科在读|本科在读|国际会计|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二化学,初三英语,高一高二英语,|耐心，有责任感||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二化学,初三英语,高一高二英语,|||
女|上海|1986|上海外国语大学（虹口）|本科在读|本科在读|英语语言文学专业|自学考试生|钢琴,|我是一个活泼开朗，责任心很强的女生。身高１.71。今年20岁。现在就读于上海外国语大学英语语言文学专业，今年升大二。在高中担任了3年的班长，大学当了一年。因为高考数学失力，所以毅然选择了自学考这一道路，因为我觉得我有能力，有这毅力来完成同样的本科科目，但是是以自学为主。并且成绩优良，05/4的考试全部通过。我从小弹钢琴，现在拥有8级证书，和全国钢琴教育教法中级证书，业余时间在PUB弹琴，所以对各种曲风有一定的把握和理解。平时有学生上门上课。我从小还练习芭蕾，有英国皇家芭蕾舞5级证书，参加过许多演出和考试，所以对艺术有一定的修养和鉴赏能力。但鄙人更乐衷于教钢琴，对音乐情有独钟。并且公关能力较强，所以对各年龄层次的朋友们都能很好的沟通，相信每个朋友都能从我这感受到钢琴所带来的魅力和乐趣！||钢琴,|||
女|浙江|1984|中国美术学院（张江）|本科在读|本科在读|环境艺术设计|本科大三学生|美术,小学语文,暂无|本人在校主要学环境艺术设计，有比较好的美术功底和一定的专业知识||美术,小学语文,暂无|||
男|上海|1985|上海外国语大学（松江）|本科在读|本科在读|法学|本科大四学生|吉它,英语四级,高三数学,高三英语,高一高二英语,高一高二数学,小学奥数,初三英语,初三数学,初三物理,英语六级,初级英语口语,初级新概念英语,高级新概念英语,高一高二物理,|||吉它,英语四级,高三数学,高三英语,高一高二英语,高一高二数学,小学奥数,初三英语,初三数学,初三物理,英语六级,初级英语口语,初级新概念英语,高级新概念英语,高一高二物理,|||
女|上海|1984|上海海事大学（洋泾）|本科在读|本科在读|财务管理|本科大四学生|小学语文,小学数学,小学英语,初一初二数学,初一初二物理,初三数学,高一高二数学,上海话,|||小学语文,小学数学,小学英语,初一初二数学,初一初二物理,初三数学,高一高二数学,上海话,|||
女|江苏|1982|华东师范大学（普陀）|本科在读|本科在读|经济学|本科大四学生|小学语文,小学数学,小学英语,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,高考心里辅导,中考心里辅导,上海话,英语四级,英语六级,|性格活泼，又过多次家教经验，擅长教英文，英语成绩优异，已通过全国四六级。与学生相处融洽。||小学语文,小学数学,小学英语,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,高考心里辅导,中考心里辅导,上海话,英语四级,英语六级,|||
女|上海|1987|同济大学（真南路）|本科在读|本科在读|汽车服务工程|本科大二学生|钢琴,初一初二英语,初一初二语文,初一初二数学,初一初二物理,|钢琴9级，适合钢琴陪练，耐心却有亲和力||钢琴,初一初二英语,初一初二语文,初一初二数学,初一初二物理,|||
女|山东|1986|复旦大学（枫林路）|本科在读|本科在读|高级护理|本科大三学生|小学数学,初一初二数学,初三数学,中考心里辅导,高一高二数学,高三数学,高考心里辅导,小学奥数,初一初二化学,高等数学,精准普通话,羽毛球,小学英语,初一初二英语,生物|性格活泼，开朗。曾获得国家二等奖学金。并多次获得学校奖学金还获得市里数学竞赛三等奖曾被评为优秀三好学生，优秀班干部。组织能力比较强。学习成绩优秀，品学兼优。有过一年的家教经历，所交学生为高三，高考成绩优秀||小学数学,初一初二数学,初三数学,中考心里辅导,高一高二数学,高三数学,高考心里辅导,小学奥数,初一初二化学,高等数学,精准普通话,羽毛球,小学英语,初一初二英语,生物|||
女|江苏|1983|江苏省南京市河海大学|本科毕业|本科毕业|国际工商院市场营销|学生|书法,初级英语口语,|本人中共正式党员，现于上海金贸大厦华尔街就读英语．书法奖项如下，９５年全国青少年书画大赛一等奖，０１年成为江苏省常州书法协会正式成员，０２年河海大学书画大赛２等奖；大学所获奖项如下，０３年度河海大学优秀共青团员，０４－０５年度河海大学三好学生，０２年度国际公商院优秀团员，０２年度院优秀学生干部，０３年度院优秀个人，０２，０３，０４年度２等奖学金．||书法,初级英语口语,|||
女|浙江|1983|东华大学（长宁）|本科在读|本科在读|英语|本科大四学生|小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,初级牛津英语,英语四级,英语六级,|英语专业四级考试良，每年都获得学习优秀奖，还获得过校优秀学生奖，有两年的家教经验。||小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,初级牛津英语,英语四级,英语六级,|||
女|上海|1986|东华大学（松江）|本科在读|本科在读|教育技术与传播|本科大三学生|小学数学,小学英语,初一初二英语,初一初二语文,初一初二数学,初一初二物理,初三英语,初三物理,中考心里辅导,上海话,|||小学数学,小学英语,初一初二英语,初一初二语文,初一初二数学,初一初二物理,初三英语,初三物理,中考心里辅导,上海话,|||
女|上海|1986-1|华东理工大学（梅陇）|本科在读|本科在读|医药结合|本科大二学生|初三英语,初三数学,初三化学,高一高二数学,高一高二化学,高三数学,高三化学,|化学东华杯二等奖， 大学英语3等奖||初三英语,初三数学,初三化学,高一高二数学,高一高二化学,高三数学,高三化学,|||
女|上海|1983|华东理工大学（梅陇）|本科在读|本科在读|化学工程与工艺|本科大四学生|初级日语,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,高三数学,高考心里辅导,|本人曾做过高二、初三学生的理科家教，较有经验。||初级日语,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,高三数学,高考心里辅导,|||
男|韩国|1983|韩国岭南大学|本科在读|本科在读|电子商务|海外留学归国人员|初级韩语,教韩国人士汉语|本人是朝鲜族人,高中毕业后到韩国留学两年。韩语口语良好,口音纯正。现已回国居住上海。||初级韩语,教韩国人士汉语|||
女|山东|1984|上海音乐学院（汾阳路）|本科在读|本科在读|声乐|本科大四学生|形体|我在重大演出中担任过独唱.包括文艺晚会,商务酒会和下乡慰问演出等等.曾教过的学生都成功考入了专业院校.||形体|||
男|江苏|1982|南京艺术学院|||美术设计|美术编辑|摄影,西洋画,中国画,美术,图像处理软件,|（１）专长美术（素描、色彩、装饰画、油画、中国画、抽象、创作等）（２）摄影（广告摄影、人像摄影、风光摄影、艺术创作）（３）图象处理软件大学生第四届艺术节绘画组二等奖||摄影,西洋画,中国画,美术,图像处理软件,|||
